id,mass (g),reclat,reclong
12231.0,577.0,45.13333,21.66667
12232.0,950.0,-6.83333,29.5
12236.0,4500.0,17.83333,73.98333
12238.0,2770.0,26.03333,81.46667
12240.0,448.0,36.04167,139.95667
12241.0,1293.0,14.18333,75.8
12243.0,299.0,31.6,65.78333
12245.0,1630.0,-7.0,115.5
12246.0,400.0,32.08333,76.3
12251.0,11355.0,4.7,33.63333
47357.0,1600.0,20.33916,73.22329
12253.0,3500.0,42.45,73.36667
12256.0,3000.0,47.21667,81.01667
12258.0,2220.0,-3.5,35.58333
12260.0,180.0,12.9,7.15
12262.0,22000.0,27.8,67.16667
12263.0,2950.0,31.58333,71.6
12264.0,41730.0,-35.08333,139.91667
12266.0,710.0,35.36667,136.76667
30740.0,16820.0,29.58333,77.58333
35465.0,1500.0,11.33333,10.08333
47351.0,6800.0,25.14333,75.81333
12268.0,85000.0,39.26333,31.78
12270.0,3300.0,-7.75,112.01667
53654.0,5760.0,36.54194,29.41822
12275.0,6937.0,29.45,-96.0
12276.0,6669.2,20.4625,86.70278
12282.0,5000.0,48.4,-3.3
12284.0,80000.0,48.11667,-3.08333
12286.0,135000.0,38.98333,141.61667
12288.0,13600.0,29.53333,72.3
12289.0,3698.0,25.55,83.11667
12291.0,1500.0,50.625,35.075
12294.0,450.0,26.95,77.88333
12296.0,100.0,28.01667,75.81667
12297.0,6109.0,56.75,75.33333
12298.0,9700.0,25.1,81.53333
12299.0,3200.0,16.0,36.0
12300.0,100000.0,14.0,28.0
12301.0,737.6,54.4,10.15
12303.0,1500.0,16.58333,-11.33333
12305.0,331.0,36.85,138.38333
12306.0,195.0,55.0,34.0
12307.0,19000.0,12.76667,9.8
12308.0,772.0,43.58333,-89.6
12309.0,140.0,54.66667,-7.66667
12316.0,67.4,11.63333,24.68333
12321.0,97.7,30.75,-95.95
12325.0,1550.0,48.16667,22.30833
12326.0,202.6,43.38333,-80.38333
12332.0,3250.0,51.6,10.8
12335.0,500000.0,48.9,22.4
12336.0,136.0,34.73333,135.16667
12342.0,11510.0,34.3,133.95
12343.0,238.0,35.73333,139.75
12344.0,90.0,42.51667,26.16667
53810.0,4300.0,48.76367,21.17633
12353.0,16500.0,49.32694,7.46472
12355.0,2440.0,54.03333,40.9
12357.0,4000.0,54.33333,56.08333
12363.0,845.2,56.8,77.0
12364.0,50000.0,47.83333,30.76667
12368.0,2250.0,51.15,31.7
12369.0,453.6,30.73111,66.80222
12370.0,6000.0,50.75,33.5
12373.0,3719.0,41.11667,45.0
12377.0,200000.0,55.78333,61.36667
12379.0,1100000.0,42.25,59.2
12381.0,4460.0,37.05,138.38333
12382.0,5.0,29.68333,78.38333
12383.0,23.0,44.51667,39.3
12384.0,45000.0,10.83333,76.03333
12385.0,4047.0,55.2,75.33333
12390.0,45000.0,32.03333,130.63333
12392.0,2800.0,47.08333,1.75
12394.0,399.0,20.66667,-101.28333
12395.0,2000.0,-37.33333,-61.53333
12396.0,45000.0,-31.23333,-58.16667
